All event log messages.
Date:	2021-03-04 23:55:55
System Name:	14000-502153
Controller Name:	YUMI-502153
Controller ID :	14000-502153

RobotWare: 6.11.01.00
Key:	 - 
Options:	
	Contact L
	UDPUC Driver
	Leadthrough
	YuMi AbsAcc Recovery
	English
	603-1 Absolute Accuracy
	988-1 RW Add-In Prepared
	613-1 Collision Detection
	709-1 DeviceNet Master/Slave
	841-1 EtherNet/IP Scanner/Adapter
	689-1 Externally Guided Motion (EGM)
	617-1 FlexPendant Interface
	614-1 FTP SFTP and NFS client
	1341-1/1520-1 Integrated Vision Interface
	604-1 MultiMove Coordinated
	623-1 Multitasking
	612-1 Path Offset
	611-1 Path Recovery
	616-1 PC Interface
	688-1 RobotStudio App Connect
	885-1 SoftMove
	608-1 World Zones
	RobotWare Base

DriveModule1
Key:	 - 
Options:	
	Hall Sensor Calibration
	Pendelum Calibration
	Motor Commutation
	Service Info System
	Drive System IRB 14000
	IRB 14000-0.5/0.5
	IRB 14000-0.5/0.5 Type A
	IRB 14000-0.5/0.5 Type A

Additional Options

SmartGripper
Key:	 - 
Options:	
	SmartGripper

YuMiLib
Key:	 - 
Options:	
	YuMiLib

Common log messages
SeqNo     	Type	Category            	Code    	Title                                   	Date                	Description	Arguments
286       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 21:03:18 	The program pointer in task T_ROB_L has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_L", "StartYuMiLibProc", "Default User"}
287       	I   	Operational         	10157   	Program restarted                       	2021-03-04 21:03:18 	Execution of task T_ROB_R has been restarted from where it was previously stopped. The restart order was initiated by an action causing the UNDO handler to execute.	{args: "1", "T_ROB_R"}
288       	I   	Operational         	10133   	Program stopped                         	2021-03-04 21:03:18 	The task T_ROB_R has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "1", "T_ROB_R"}
289       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 21:03:18 	The program pointer of task T_ROB_R has been reset.	{args: "1", "0", "T_ROB_R"}
290       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 21:03:18 	The program pointer in task T_ROB_R has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_R", "StartYuMiLibProc", "Default User"}
291       	I   	Operational         	10025   	Collision confirmed                     	2021-03-04 21:03:18 	The collision detection has been confirmed.	{args: }
292       	I   	Operational         	10052   	Regain start                            	2021-03-04 21:03:18 	A regain movement has started.	{args: "0"}
293       	I   	Operational         	10053   	Regain ready                            	2021-03-04 21:03:18 	The regain movement is ready.	{args: "0"}
294       	I   	Operational         	10151   	Program started                         	2021-03-04 21:03:18 	Execution of task T_ROB_R has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB_R"}
295       	I   	Operational         	10151   	Program started                         	2021-03-04 21:03:18 	Execution of task T_ROB_L has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "T_ROB_L"}
296       	I   	Operational         	10133   	Program stopped                         	2021-03-04 21:03:25 	The task T_ROB_R has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "1", "T_ROB_R"}
297       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 21:03:25 	The program pointer of task T_ROB_R has been reset.	{args: "1", "0", "T_ROB_R"}
298       	I   	Operational         	10133   	Program stopped                         	2021-03-04 21:03:26 	The task T_ROB_L has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "2", "T_ROB_L"}
299       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 21:03:26 	The program pointer of task T_ROB_L has been reset.	{args: "2", "0", "T_ROB_L"}
300       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 21:03:36 	The program pointer in task T_ROB_L has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_L", "StartYuMiLibProc", "Default User"}
301       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 21:03:36 	The program pointer in task T_ROB_R has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_R", "StartYuMiLibProc", "Default User"}
302       	I   	Operational         	10052   	Regain start                            	2021-03-04 21:03:36 	A regain movement has started.	{args: "0"}
303       	I   	Operational         	10053   	Regain ready                            	2021-03-04 21:03:36 	The regain movement is ready.	{args: "0"}
304       	I   	Operational         	10151   	Program started                         	2021-03-04 21:03:36 	Execution of task T_ROB_R has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB_R"}
305       	I   	Operational         	10151   	Program started                         	2021-03-04 21:03:36 	Execution of task T_ROB_L has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "T_ROB_L"}
306       	I   	Operational         	10133   	Program stopped                         	2021-03-04 21:03:41 	The task T_ROB_R has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "1", "T_ROB_R"}
307       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 21:03:41 	The program pointer of task T_ROB_R has been reset.	{args: "1", "0", "T_ROB_R"}
308       	I   	Operational         	10133   	Program stopped                         	2021-03-04 21:03:43 	The task T_ROB_L has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "2", "T_ROB_L"}
309       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 21:03:43 	The program pointer of task T_ROB_L has been reset.	{args: "2", "0", "T_ROB_L"}
310       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 21:03:47 	The program pointer in task T_ROB_L has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_L", "StartYuMiLibProc", "Default User"}
311       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 21:03:47 	The program pointer in task T_ROB_R has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_R", "StartYuMiLibProc", "Default User"}
312       	I   	Operational         	10052   	Regain start                            	2021-03-04 21:03:48 	A regain movement has started.	{args: "0"}
313       	I   	Operational         	10053   	Regain ready                            	2021-03-04 21:03:48 	The regain movement is ready.	{args: "0"}
314       	I   	Operational         	10151   	Program started                         	2021-03-04 21:03:48 	Execution of task T_ROB_R has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB_R"}
315       	I   	Operational         	10151   	Program started                         	2021-03-04 21:03:48 	Execution of task T_ROB_L has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "T_ROB_L"}
316       	W   	Motion              	50204   	Motion supervision                      	2021-03-04 21:04:22 	Motion supervision triggered for axis 5 on mechanical unit ROB_L.	{args: "5", "ROB_L"}
317       	I   	Operational         	10024   	Collision triggered                     	2021-03-04 21:04:22 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
318       	W   	Program             	40357   	Missing Error Handler                   	2021-03-04 21:04:23 	There is no error handler that deals with the process error for task T_ROB_L.	{args: "T_ROB_L"}
319       	W   	Motion              	50464   	A collision has occurred                	2021-03-04 21:04:23 	Task: T_ROB_L.A collision has occurred. This can be handled in a RAPID error handler. If it is not handled, the RAPID execution will stop./YuMiLibStartApp/StartYuMiLibProc/StartY.	{args: "T_ROB_L", "/YuMiLibStartApp/StartYuMiLibProc/StartY", "ERR_COLL_STOP"}
320       	I   	Operational         	10122   	Program stopped                         	2021-03-04 21:04:23 	The task T_ROB_L has stopped. The reason is that the task is ready.	{args: "2", "T_ROB_L"}
321       	I   	Operational         	10133   	Program stopped                         	2021-03-04 21:04:25 	The task T_ROB_R has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "1", "T_ROB_R"}
322       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 21:04:25 	The program pointer of task T_ROB_R has been reset.	{args: "1", "0", "T_ROB_R"}
323       	W   	Motion              	50204   	Motion supervision                      	2021-03-04 21:04:25 	Motion supervision triggered for axis 7 on mechanical unit ROB_L.	{args: "7", "ROB_L"}
324       	I   	Operational         	10024   	Collision triggered                     	2021-03-04 21:04:25 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
325       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 21:04:54 	The program pointer of task T_ROB_L has been reset.	{args: "2", "0", "T_ROB_L"}
326       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 21:04:54 	The program pointer in task T_ROB_L has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_L", "StartYuMiLibProc", "Default User"}
327       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 21:04:54 	The program pointer in task T_ROB_R has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_R", "StartYuMiLibProc", "Default User"}
328       	I   	Operational         	10025   	Collision confirmed                     	2021-03-04 21:04:55 	The collision detection has been confirmed.	{args: }
329       	I   	Operational         	10052   	Regain start                            	2021-03-04 21:04:55 	A regain movement has started.	{args: "0"}
330       	I   	Operational         	10053   	Regain ready                            	2021-03-04 21:04:55 	The regain movement is ready.	{args: "0"}
331       	I   	Operational         	10151   	Program started                         	2021-03-04 21:04:55 	Execution of task T_ROB_R has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB_R"}
332       	I   	Operational         	10151   	Program started                         	2021-03-04 21:04:55 	Execution of task T_ROB_L has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "T_ROB_L"}
333       	I   	Operational         	10133   	Program stopped                         	2021-03-04 21:05:06 	The task T_ROB_R has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "1", "T_ROB_R"}
334       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 21:05:06 	The program pointer of task T_ROB_R has been reset.	{args: "1", "0", "T_ROB_R"}
335       	I   	Operational         	10133   	Program stopped                         	2021-03-04 21:05:07 	The task T_ROB_L has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "2", "T_ROB_L"}
336       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 21:05:07 	The program pointer of task T_ROB_L has been reset.	{args: "2", "0", "T_ROB_L"}
337       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 21:05:13 	The program pointer in task T_ROB_L has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_L", "StartYuMiLibProc", "Default User"}
338       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 21:05:14 	The program pointer in task T_ROB_R has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_R", "StartYuMiLibProc", "Default User"}
339       	I   	Operational         	10052   	Regain start                            	2021-03-04 21:05:14 	A regain movement has started.	{args: "0"}
340       	I   	Operational         	10053   	Regain ready                            	2021-03-04 21:05:14 	The regain movement is ready.	{args: "0"}
341       	I   	Operational         	10151   	Program started                         	2021-03-04 21:05:14 	Execution of task T_ROB_R has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB_R"}
342       	I   	Operational         	10151   	Program started                         	2021-03-04 21:05:14 	Execution of task T_ROB_L has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "T_ROB_L"}
343       	I   	Operational         	10133   	Program stopped                         	2021-03-04 21:05:16 	The task T_ROB_L has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "2", "T_ROB_L"}
344       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 21:05:16 	The program pointer of task T_ROB_L has been reset.	{args: "2", "0", "T_ROB_L"}
345       	I   	Operational         	10133   	Program stopped                         	2021-03-04 21:05:16 	The task T_ROB_R has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "1", "T_ROB_R"}
346       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 21:05:16 	The program pointer of task T_ROB_R has been reset.	{args: "1", "0", "T_ROB_R"}
347       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 21:05:19 	The program pointer in task T_ROB_L has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_L", "StartYuMiLibProc", "Default User"}
348       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 21:05:19 	The program pointer in task T_ROB_R has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_R", "StartYuMiLibProc", "Default User"}
349       	I   	Operational         	10052   	Regain start                            	2021-03-04 21:05:19 	A regain movement has started.	{args: "0"}
350       	I   	Operational         	10053   	Regain ready                            	2021-03-04 21:05:19 	The regain movement is ready.	{args: "0"}
351       	I   	Operational         	10151   	Program started                         	2021-03-04 21:05:19 	Execution of task T_ROB_R has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB_R"}
352       	I   	Operational         	10151   	Program started                         	2021-03-04 21:05:19 	Execution of task T_ROB_L has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "T_ROB_L"}
353       	I   	User                	80003   	YuMiLib: Start PositionT_ROB_R          	2021-03-04 21:05:25 	MoveToHome startposition during setup: Robax: [-8.17702E-05,-130,30,-6.10923E-05,40.0004,0.000126087]Extax: [-135,9E+09,9E+09,9E+09,9E+09,9E+09]	{args: "YuMiLib: Start PositionT_ROB_R", "MoveToHome startposition during setup: ", "Robax: [-8.17702E-05,-130,30,-6.10923E-05,40.0004,0.000126087]", "Extax: [-135,9E+09,9E+09,9E+09,9E+09,9E+09]"}
354       	I   	User                	80003   	YuMiLib: Start PositionT_ROB_L          	2021-03-04 21:05:25 	MoveToHome startposition during setup: Robax: [-33.739,-141.323,-11.1545,-8.58758,81.6908,10.3607]Extax: [82.5249,9E+09,9E+09,9E+09,9E+09,9E+09]	{args: "YuMiLib: Start PositionT_ROB_L", "MoveToHome startposition during setup: ", "Robax: [-33.739,-141.323,-11.1545,-8.58758,81.6908,10.3607]", "Extax: [82.5249,9E+09,9E+09,9E+09,9E+09,9E+09]"}
355       	W   	Program             	40625   	Limit Error                             	2021-03-04 21:05:25 	Task: T_ROB_L.The robot is outside its limits.Program ref: /YuMiLibStartApp/StartYuMiLibProc/StartYuMiLibProc/0.	{args: "T_ROB_L", "/YuMiLibStartApp/StartYuMiLibProc/StartYuMiLibProc/0", "ERR_ROBLIMIT"}
356       	E   	Motion              	50145   	Kinematic limitation                    	2021-03-04 21:05:25 	Kinematic limitation for robot ROB_L, no solution found. - Long segment.- Position close to singularity.- Joint 1, 2 or 3 out of range.- Position outside reach.	{args: "ROB_L"}
357       	I   	Operational         	10020   	Execution error state                   	2021-03-04 21:05:25 	The program execution in task T_ROB_R has been stopped due to a spontaneous error.	{args: "1", "T_ROB_R"}
358       	I   	Operational         	10020   	Execution error state                   	2021-03-04 21:05:25 	The program execution in task T_ROB_L has been stopped due to a spontaneous error.	{args: "2", "T_ROB_L"}
359       	I   	Operational         	10125   	Program stopped                         	2021-03-04 21:05:25 	The task T_ROB_L has stopped. The reason is that an external or internal stop has occurred.	{args: "2", "T_ROB_L"}
360       	I   	Operational         	10125   	Program stopped                         	2021-03-04 21:05:25 	The task T_ROB_R has stopped. The reason is that an external or internal stop has occurred.	{args: "1", "T_ROB_R"}
361       	I   	Operational         	10021   	Execution error reset                   	2021-03-04 21:05:26 	The program execution in task T_ROB_R has left a spontaneous error state.	{args: "1", "T_ROB_R"}
362       	I   	Operational         	10021   	Execution error reset                   	2021-03-04 21:05:26 	The program execution in task T_ROB_L has left a spontaneous error state.	{args: "2", "T_ROB_L"}
363       	I   	Operational         	10052   	Regain start                            	2021-03-04 21:05:26 	A regain movement has started.	{args: "0"}
364       	I   	Operational         	10053   	Regain ready                            	2021-03-04 21:05:26 	The regain movement is ready.	{args: "0"}
365       	I   	Operational         	10156   	Program restarted                       	2021-03-04 21:05:26 	Execution of task T_ROB_R has been restarted from where it was previously stopped. The originator is an external client.	{args: "1", "T_ROB_R"}
366       	I   	Operational         	10156   	Program restarted                       	2021-03-04 21:05:26 	Execution of task T_ROB_L has been restarted from where it was previously stopped. The originator is an external client.	{args: "2", "T_ROB_L"}
369       	W   	System              	20142   	Start rejected                          	2021-03-04 21:05:26 	Start/restart of program, via System IO, was rejected.	{args: "-1"}
370       	I   	Operational         	10052   	Regain start                            	2021-03-04 21:05:27 	A regain movement has started.	{args: "0"}
371       	I   	Operational         	10053   	Regain ready                            	2021-03-04 21:05:27 	The regain movement is ready.	{args: "0"}
372       	W   	Operational         	10457   	Event routines are deferred             	2021-03-04 21:05:27 	 The SYS_RESET event routine START in task T_ROB_L could not start. Executions of event routines are deferred until next start order for this task. 	{args: "T_ROB_L", "START", "SYS_RESET"}
373       	W   	System              	20142   	Start rejected                          	2021-03-04 21:05:27 	Start/restart of program, via System IO, was rejected.	{args: "-508"}
374       	I   	Operational         	10137   	Program stopped                         	2021-03-04 21:05:31 	The task T_ROB_R has stopped. The reason is that the task has reached a stop\AllMoveTask instruction.	{args: "1", "T_ROB_R"}
375       	I   	Operational         	10125   	Program stopped                         	2021-03-04 21:05:31 	The task T_ROB_L has stopped. The reason is that an external or internal stop has occurred.	{args: "2", "T_ROB_L"}
376       	I   	Operational         	10157   	Program restarted                       	2021-03-04 21:05:38 	Execution of task T_ROB_L has been restarted from where it was previously stopped. The restart order was initiated by an action causing the UNDO handler to execute.	{args: "2", "T_ROB_L"}
377       	I   	Operational         	10133   	Program stopped                         	2021-03-04 21:05:38 	The task T_ROB_L has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "2", "T_ROB_L"}
378       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 21:05:38 	The program pointer of task T_ROB_L has been reset.	{args: "2", "0", "T_ROB_L"}
379       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 21:05:38 	The program pointer in task T_ROB_L has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_L", "StartYuMiLibProc", "Default User"}
380       	I   	Operational         	10157   	Program restarted                       	2021-03-04 21:05:38 	Execution of task T_ROB_R has been restarted from where it was previously stopped. The restart order was initiated by an action causing the UNDO handler to execute.	{args: "1", "T_ROB_R"}
381       	I   	Operational         	10133   	Program stopped                         	2021-03-04 21:05:38 	The task T_ROB_R has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "1", "T_ROB_R"}
382       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 21:05:38 	The program pointer of task T_ROB_R has been reset.	{args: "1", "0", "T_ROB_R"}
383       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 21:05:38 	The program pointer in task T_ROB_R has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_R", "StartYuMiLibProc", "Default User"}
384       	I   	Operational         	10153   	Run mode is changed                     	2021-03-04 21:05:39 	Run mode has been changed to single cycle by Default User.	{args: "Default User"}
385       	I   	Operational         	10052   	Regain start                            	2021-03-04 21:05:39 	A regain movement has started.	{args: "0"}
386       	I   	Operational         	10053   	Regain ready                            	2021-03-04 21:05:39 	The regain movement is ready.	{args: "0"}
387       	I   	Operational         	10151   	Program started                         	2021-03-04 21:05:39 	Execution of task T_ROB_R has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB_R"}
388       	I   	Operational         	10151   	Program started                         	2021-03-04 21:05:39 	Execution of task T_ROB_L has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "T_ROB_L"}
389       	I   	Operational         	10133   	Program stopped                         	2021-03-04 21:05:40 	The task T_ROB_R has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "1", "T_ROB_R"}
390       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 21:05:40 	The program pointer of task T_ROB_R has been reset.	{args: "1", "0", "T_ROB_R"}
391       	I   	Operational         	10133   	Program stopped                         	2021-03-04 21:05:40 	The task T_ROB_L has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "2", "T_ROB_L"}
392       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 21:05:40 	The program pointer of task T_ROB_L has been reset.	{args: "2", "0", "T_ROB_L"}
393       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 22:02:13 	The program pointer in task T_ROB_L has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_L", "StartYuMiLibProc", "Default User"}
394       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 22:02:14 	The program pointer in task T_ROB_R has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_R", "StartYuMiLibProc", "Default User"}
395       	I   	Operational         	10052   	Regain start                            	2021-03-04 22:02:14 	A regain movement has started.	{args: "0"}
396       	I   	Operational         	10053   	Regain ready                            	2021-03-04 22:02:14 	The regain movement is ready.	{args: "0"}
397       	I   	Operational         	10151   	Program started                         	2021-03-04 22:02:14 	Execution of task T_ROB_R has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB_R"}
398       	I   	Operational         	10151   	Program started                         	2021-03-04 22:02:14 	Execution of task T_ROB_L has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "T_ROB_L"}
399       	W   	Motion              	50501   	Short movements                         	2021-03-04 22:02:35 	One or more consecutive move instructions resulted in movements close to zero length.Task: T_ROB_R.Program ref. /YuMiLibStartApp/StartYuMiLibProc/StartYuMiLibProc/0.	{args: "T_ROB_R", "/YuMiLibStartApp/StartYuMiLibProc/StartYuMiLibProc/0"}
400       	W   	Program             	41776   	No more data available                  	2021-03-04 22:02:40 	Task: T_ROB_R.No more data available for camera HandCameraR.Program ref: /YuMiLibStartApp/StartYuMiLibProc/StartYuMiLibProc/0.	{args: "T_ROB_R", "HandCameraR", "/YuMiLibStartApp/StartYuMiLibProc/StartYuMiLibProc/0", "SceneId", "ERR_CAM_NO_MORE_DATA"}
401       	W   	Program             	41776   	No more data available                  	2021-03-04 22:02:49 	Task: T_ROB_R.No more data available for camera HandCameraR.Program ref: /YuMiLibStartApp/StartYuMiLibProc/StartYuMiLibProc/0.	{args: "T_ROB_R", "HandCameraR", "/YuMiLibStartApp/StartYuMiLibProc/StartYuMiLibProc/0", "SceneId", "ERR_CAM_NO_MORE_DATA"}
402       	I   	User                	80003   	YuMiLib: Focus check successful, using Pattern_ExtraLarge	2021-03-04 22:02:55 		{args: "YuMiLib: Focus check successful, using Pattern_ExtraLarge"}
403       	I   	User                	80003   	YuMiLib: Camera Calibration complete T_ROB_R	2021-03-04 22:04:15 	Reorientation Error 0.07 mmCalibCamera Max Error = 0.22 mmCalibCamera Mean Error = 0.09 mmPattern used = Pattern_ExtraLarge	{args: "YuMiLib: Camera Calibration complete T_ROB_R", "Reorientation Error 0.07 mm", "CalibCamera Max Error = 0.22 mm", "CalibCamera Mean Error = 0.09 mm", "Pattern used = Pattern_ExtraLarge"}
404       	I   	Operational         	10133   	Program stopped                         	2021-03-04 22:04:15 	The task T_ROB_R has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "1", "T_ROB_R"}
405       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 22:04:15 	The program pointer of task T_ROB_R has been reset.	{args: "1", "0", "T_ROB_R"}
406       	I   	Operational         	10133   	Program stopped                         	2021-03-04 22:04:16 	The task T_ROB_L has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "2", "T_ROB_L"}
407       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 22:04:16 	The program pointer of task T_ROB_L has been reset.	{args: "2", "0", "T_ROB_L"}
408       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 23:48:06 	The program pointer in task T_ROB_L has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_L", "StartYuMiLibProc", "Default User"}
409       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 23:48:06 	The program pointer in task T_ROB_R has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_R", "StartYuMiLibProc", "Default User"}
410       	I   	Operational         	10052   	Regain start                            	2021-03-04 23:48:06 	A regain movement has started.	{args: "0"}
411       	I   	Operational         	10053   	Regain ready                            	2021-03-04 23:48:06 	The regain movement is ready.	{args: "0"}
412       	I   	Operational         	10151   	Program started                         	2021-03-04 23:48:06 	Execution of task T_ROB_R has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB_R"}
413       	I   	Operational         	10151   	Program started                         	2021-03-04 23:48:06 	Execution of task T_ROB_L has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "T_ROB_L"}
414       	I   	Operational         	10133   	Program stopped                         	2021-03-04 23:50:01 	The task T_ROB_L has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "2", "T_ROB_L"}
415       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 23:50:01 	The program pointer of task T_ROB_L has been reset.	{args: "2", "0", "T_ROB_L"}
416       	I   	Operational         	10133   	Program stopped                         	2021-03-04 23:50:01 	The task T_ROB_R has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "1", "T_ROB_R"}
417       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 23:50:01 	The program pointer of task T_ROB_R has been reset.	{args: "1", "0", "T_ROB_R"}

Operational log messages
SeqNo     	Type	Category            	Code    	Title                                   	Date                	Description	Arguments
393       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 22:02:13 	The program pointer in task T_ROB_L has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_L", "StartYuMiLibProc", "Default User"}
394       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 22:02:14 	The program pointer in task T_ROB_R has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_R", "StartYuMiLibProc", "Default User"}
395       	I   	Operational         	10052   	Regain start                            	2021-03-04 22:02:14 	A regain movement has started.	{args: "0"}
396       	I   	Operational         	10053   	Regain ready                            	2021-03-04 22:02:14 	The regain movement is ready.	{args: "0"}
397       	I   	Operational         	10151   	Program started                         	2021-03-04 22:02:14 	Execution of task T_ROB_R has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB_R"}
398       	I   	Operational         	10151   	Program started                         	2021-03-04 22:02:14 	Execution of task T_ROB_L has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "T_ROB_L"}
404       	I   	Operational         	10133   	Program stopped                         	2021-03-04 22:04:15 	The task T_ROB_R has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "1", "T_ROB_R"}
405       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 22:04:15 	The program pointer of task T_ROB_R has been reset.	{args: "1", "0", "T_ROB_R"}
406       	I   	Operational         	10133   	Program stopped                         	2021-03-04 22:04:16 	The task T_ROB_L has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "2", "T_ROB_L"}
407       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 22:04:16 	The program pointer of task T_ROB_L has been reset.	{args: "2", "0", "T_ROB_L"}
408       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 23:48:06 	The program pointer in task T_ROB_L has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_L", "StartYuMiLibProc", "Default User"}
409       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 23:48:06 	The program pointer in task T_ROB_R has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_R", "StartYuMiLibProc", "Default User"}
410       	I   	Operational         	10052   	Regain start                            	2021-03-04 23:48:06 	A regain movement has started.	{args: "0"}
411       	I   	Operational         	10053   	Regain ready                            	2021-03-04 23:48:06 	The regain movement is ready.	{args: "0"}
412       	I   	Operational         	10151   	Program started                         	2021-03-04 23:48:06 	Execution of task T_ROB_R has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB_R"}
413       	I   	Operational         	10151   	Program started                         	2021-03-04 23:48:06 	Execution of task T_ROB_L has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "T_ROB_L"}
